DIAXWRI/ZON, V1  PAPNSN, XWRI/ZW          DIA
A)PO/DRAQI, VA  AAD2S, DIDRA/SKW        A)PO
PROSW/XQIKA, VX  XAI1S, O)XQI/ZW         PROS
E)NUPNIA/SQH, VSI API3S, U(PNIA/ZW        E)N
E)PE/XEEN, V2I IAI3S, XE/W             E)PI
A)PODEKATW/SW, VF  FAI1S, DEKATO/W         A)PO
A)PEKU/LION, V1I IAI3P, KULI/W           A)PO
A)PEKAQI/STWN, V6I IAI3P, I(/STHMI         A)PO  KATA
A)POKULI/SWSIN, VA  AAS3P, KULI/W           A)PO
PARELOGI/SW, VAI AMI2S, LOGI/ZOMAI       PARA
SUNTE/LESON, VA  AAD2S, TELE/W           SUN
SUNANESTRA/FHN, VDI API1S, STRE/FW          SUN   A)NA
PROSQE/TW, VE  AMD3S, TI/QHMI          PROS
DIA/STEILON, VA  AAD2S, STE/LLW          DIA
DIAXW/RISON, VA  AAD2S, XWRI/ZW          DIA
DIE/STEILEN, VAI AAI3S, STE/LLW          DIA
PERISU/RWN, V1  PAPNSM, SU/RW            PERI
E)GKISSH/SWSIN, VA  AAS3P, KISSA/W          E)N
E)NEKI/SSHSEN, VAI AAI3S, KISSA/W          E)N
E)GKISSH=SAI, VA  AAN, KISSA/W          E)N
E)NEKI/SSWN, V3I IAI3P, KISSA/W          E)N
A)NH/GGEILA/S, VAI AAI2S, A)GGE/LLW        A)NA
E)CAPE/STEILA, VAI AAI1S, STE/LLW          E)K   A)PO
KATEDI/WCAS, VAI AAI2S, DIW/KW           KATA
A)NENH/NOXA/, VX  XAI1S, FE/RW            A)NA
A)PETI/NNUON, V1I IAI1S, TINNU/W          A)PO
DIAQW/MEQA, VE  AMS1P, TI/QHMI          DIA
SULLE/GETE, V1  PAD2P, LE/GW            SUN
SUNE/LECAN, VAI AAI3P, LE/GW            SUN
E)PI/DOI, VO  AAO2S, DI/DWMI          E)PI
PARW/|KHSA, VAI AAI1S, OI)KE/W          PARA
PROPOREU/ESQE, V1  PMD2P, POREU/OMAI       PRO
SUNANTH/SH|, VA  AAS3S, A)NTA/W          SUN
PROPOREUO/MENA/, V1  PMPAPN, POREU/OMAI       PRO
PROPOREUOME/NOIS, V1  PMPDPM, POREU/OMAI       PRO
E)CILA/SOMAI, VF  FMI1S, I(LA/SKOMAI      E)K
PROPOREUOME/NOIS, V1  PMPDPN, POREU/OMAI       PRO
E)PE/SKAZEN, V1I IAI3S, SKA/ZW           E)PI
PROSH/GGISAN, VAI AAI3P, E)GGI/ZW         PROS
PROSH/GGISEN, VAI AAI3S, E)GGI/ZW         PROS
KATADIW/CW, VA  AAS1S, DIW/KW           KATA
PROELQE/TW, VB  AAD3S, E)/RXOMAI        PRO
KATALEI/YW, VF  FAI1S, LEI/PW           KATA
A)PAI/REI, V1  PAI3S, AI)/RW           A)PO
KATENU/XQHSAN, VQI API3P, NU/TTW           KATA
PROEI/LATO, VAI AMI3S, AI(RE/W          PRO
E)PIGAMBREU/SASQE, VA  AMI2P, GAMBREU/W        E)PI
E)MPOREU/ESQE, V1  PMD2P, POREU/OMAI       E)N
E)GKTH/SASQE, VA  AMD2P, KTA/OMAI         E)N
KATOIKH/SOMEN, VF  FAI1P, OI)KE/W          KATA
EI)SAKOU/SHTE, VA  AAS2P, A)KOU/W          EI)S
E)MPOREUE/SQWSAN, V1  PMD3P, POREU/OMAI       E)N
PERITE/TMHNTAI, VM  XMI3P, TE/MNW           PERI
EI)SH/KOUSAN, VAI AAI3P, A)KOU/W          EI)S
SUGKO/YOUSI/N, VF  FAI3P, KO/PTW           SUN
E)KTRIBH/SOMAI, VD  FPI1S, TRI/BW           E)K
A)NA/BHQI, VZ  AAD2S, BAI/NW           A)NA
A)NABW=MEN, VZ  AAS1P, BAI/NW           A)NA
E)PAKOU/SANTI/, VA  AAPDSM, A)KOU/W          E)PI
KATW|KODOMHME/NAIS, VA  AMPDPF, OI)KODOME/W      KATA
E)NUPNIASQEI\S, VS  APPNSM, U(PNIA/ZW        E)N
E)NUPNIA/SQHN, VSI API1S, U(PNIA/ZW        E)N
E)NUPNIASA/MHN, V1A AMI1S, U(PNIA/ZW        E)N
E)NUPNIA/SQHS, VSI API2S, U(PNIA/ZW        E)N
A)PH/RKASIN, VX  XAI3P, AI)/RW           A)PO
E)CEI/LATO, VAI AMI3S, AI(RE/W          E)K
E)KXE/HTE, V2  PAS2P, XE/W             E)K
E)PENE/GKHTE, VA  AAS2P, FE/RW            E)PI
E)CE/LHTAI, VB  AMS3S, AI(RE/W          E)K
A)PODW=|, VO  AAS3S, DI/DWMI          A)PO
A)PODW/MEQA, VF  FMI1P, DI/DWMI          A)PO
KATABH/SOMAI, VF  FMI1S, BAI/NW           KATA
E)CE/XEEN, V2I IAI3S, XE/W             E)K
PARAKLHQEI\S, VC  APPNSM, KALE/W           PARA
KATEKALU/YATO, VAI AMI3S, KALU/PTW         KATA
PERIEI/LATO, VAI AMI3S, AI(RE/W          PERI
KATAGELASQW=MEN, VC  APS1P, GELA/W           KATA
E)KPEPO/RNEUKEN, VX  XAI3S, PORNEU/W         E)K
E)CAGA/GETE, VB  AAD2P, A)/GW            E)K
KATAKAUQH/TW, VC  APD3S, KAI/W            KATA
E)PISUNH/GAGEN, VBI AAI3S, A)/GW            E)PI  SUN
U(PECH/|RHTAI, VM  XMI3S, AI(RE/W          U(PO  E)K
KATE/XEEN, V2I IAI3S, XE/W             KATA
A)PHGME/NOUS, VK  XMPAPM, A)/GW            A)PO
A)PH=KTO, VMI YMI3S, A)/GW            A)PO
DIHGH/SASQE, VA  AMD2P, H(GE/OMAI        DIA
A)NENHNOXUI=A, VX  XAPNSF, FE/RW            A)NA
E)CE/QLIYA, VAI AAI1S, QLI/BW           E)K
E)CA/CEIS, VF  FAI2S, A)/GW            E)K
A)FELEI=, VF2 FAI3S, AI(RE/W          A)PO
A)NEFU/ONTO, V1I IMI3P, FU/W             A)NA
A)NALW/SEI, VF  FAI3S, A(LI/SKW         A)NA
A)POPEMPTWSA/TWSAN, VA  AAD3P, PEMPTO/W         A)PO
SUNAGAGE/TWSAN, VB  AAD3P, A)/GW            SUN
U(PERE/CW, VF  FAI1S, E)/XW            U(PE
KAQI/STHMI/, V6  PAI1S, I(/STHMI         KATA
E)CAREI=, VF2 PAI3S, AI)/RW           E)K
KATA/BHTE, VZ  AAD2P, BAI/NW           KATA
A)PA/XQHTE, VQ  API2P, A)/GW            A)PO
KATASXEQH/TW, VC  APD3S, E)/XW            KATA
U(PEREI/DOMEN, VBI AAI1P, O(RA/W           U(PE
KATEDE/ETO, V2I IMI3S, DE/W             KATA
E)KZHTEI=TAI, V2  PMI3S, ZHTE/W           E)K
E)MPLH=SAI, VA  AAN, PI/MPLHMI        E)N
KATASKOPEU/ONTAS, V1  PAPAPM, SKOPEU/W         KATA
A)/FETE, VB  AAD2P, I(/HMI           A)PO
A)PE/LQATE, VA  AAD2P, E)/RXOMAI        A)PO
E)MPOREU/ESQE, V1  PMI2P, POREU/OMAI       E)N
A)NA/CW, VF  FAI1S, A)/GW            A)NA
KATABH/SETAI, VF  FMI3S, BAI/NW           KATA
KATA/CETE/, VF  FAI2P, A)/GW            KATA
KATABHSO/MEQA, VF  FMI1P, BAI/NW           KATA
U(PESTRE/YAMEN, VAI AAI1P, STRE/FW          U(PO
KATAGA/GETE, VB  AAD2P, A)/GW            KATA
EI)SAGO/MEQA, V1  PMI1P, A)/GW            EI)S
A)PE/XW, V1  PAI1S, E)/XW            A)PO
SUNESTRE/FETO, V1I IMI3S, STRE/FW          SUN
E)NEKRATEU/SATO, VAI AMI3S, KRATEU/OMAI      E)N
E)MBA/LATE, VA  AAD2P, BA/LLW           E)N
DIE/FAUSEN, VAI AAI3S, FAU/SKW          DIA
E)PIDI/WCON, VA  AAD2S, DIW/KW           E)PI
KATALH/MYH|, VF  FMI2S, LAMBA/NW         KATA
SUNTETE/LESQE, VM  XMI2P, TELE/W           SUN
KAQEI=LAN, VAI AAI3P, AI(RE/W          KATA
A)NTEROU=MEN, VF2 FAI1P, EI)=PON          A)NTI
A)NA/BHTE, VZ  AAD2P, BAI/NW           A)NA
KATABH=|, VZ  AAS3S, BAI/NW           KAT
PROSQH/SESQE, VF  FMI2P, TI/QHMI          PROS
KATABH=NAI, VZ  AAN, BAI/NW           KATA
EI)SPOREU/WMAI, V1  PMS1S, POREU/OMAI       EI)S
KATA/COUSIN, VF  FAI3P, A)/GW            KATA
A)NABH/TW, VZ  AAD3S, BAI/NW           A)NA
A)NABH/SOMAI, VF  FMI1S, BAI/NW           A)NA
E)CAPOSTEI/LATE, VA  AAD2P, STE/LLW          E)K   A)PO
A)NEGNWRI/ZETO, V1I IMI3S, GNWRI/ZW         A)NA
A)FH=KEN, VAI AAI3S, I(/HMI           A)PO
KATA/BHQI, VZ  AAD2S, BAI/NW           KATA
KATOIKH/SEIS, VF  FAI2S, OI)KE/W          KATA
E)KQRE/YW, VF  FAI1S, TRE/FW           E)K
E)KTRIBH=|S, VD  APS2S, TRI/BW           E)K
E)CALLASSOU/SAS, V1  PAPAPF, A)LLA/SSW        E)K
A)NABIBA/SW, VF  FAI1S, BIBA/ZW          A)NA
E)PIBALEI=, VF  FAI3S, BA/LLW           E)PI
KATOIKH/SHTE, VA  AAS2P, OI)KE/W          KATA
KATOIKEI/TWSAN, VA  AAD3P, OI)KE/W          KATA
KATOI/KISON, VA  AAD2S, OI)KI/ZW         KATA
E)KTRIBW=MEN, VD  APS1P, TRI/BW           E)K
A)POPEMPTOU=N, V4  PAPNSM, PEMPTO/W         A)PO
E)PIKLHQH/SETAI, VC  FPI3S, KALE/W           E)PI
A)NAGGEI/LW, VA  AAS1S, A)GGE/LLW        A)NA
A)PANTH/SEI, VF  FAI3S, A)NTA/W          A)PO
E)KZE/SH|S, VA  AAS2S, ZE/W             E)K
DIAMERIW=, VF2 FAI1S, MERI/ZW          DIA
DIASPERW=, VF2 FAI1S, SPEI/RW          DIA
E)KLEI/YEI, VF  FAI3S, LEI/PW           E)K
PARATENEI=, VF2 FAI3S, TEI/NW           PARA
DIABOULEUO/MENOI, V1  PMPNPM, BOULEU/W         DIA
E)NEI=XON, V1I IAI3P, E)/XW            E)N
DIADW/SEI, VF  FAI3S, DI/DWMI          DIA
E)NETAFI/ASAN, VAI AAI3P, TAFIA/ZW         E)N
E)PANELEU/SOMAI, VF  FMI1S, E)/RXOMAI        E)PI  A)NA
DIAQRE/YW, VF  FAI1S, TRE/FW           DIA
A)NA/CEI, VF  FAI3S, A)/GW            A)NA
SUNANOI/SETE, VF  FAI2P, FE/RW            SUN   A)NA
EI)SPEPOREUME/NWN, VX  XPPGPM, POREU/OMAI       EI)S
KATASOFISW/MEQA, VA  AAS1P, SOFI/ZW          KATA
PROSTEQH/SONTAI, VC  FPI3P, TI/QHMI          PROS
KATEDUNA/STEUON, V1I IAI3P, DUNASTEU/W       KATA
KATWDU/NWN, V1I IAI3P, O)DUNA/W         KATA
PERIPOIEI=SQE, V2  PMD2P, POIE/W           PERI
KATESKO/PEUEN, V1I IAI3S, SKOPEU/W         KATA
A)NEI/LATO, VAI AMI3S, AI(RE/W          A)NA
A)NEILO/MHN, VBI AMI1S, AI(RE/W          A)NA
A)NEI=LES, VBI AAI2S, AI(RE/W          A)NA
KATESTE/NACAN, VAI AAI3P, STENA/ZW         KATA
KATEMBLE/YAI, VA  AAN, BLE/PW           KATA  E)N
PROH/SETAI, VF  FMI3S, I(/HMI           PRO
E)CAPOSTELEI=, VF2 FAI3S, STE/LLW          E)K   A)PO
A)POTRE/XHTE, V1  PAS2P, TRE/XW           A)PO
E)PIQH/SETE, VF  FAI2P, TI/QHMI          E)PI
EI)SAKOU/SWSIN, VA  AAS3P, A)KOU/W          EI)S
E)/KTEINON, VA  AAD2S, TEI/NW           E)K
PROXEI/RISAI, VA  AAN, XEIRI/ZW         PROS
PROSLALH/SEI, VF  FAI3S, LALE/W           PROS
A)POSTRE/FONTOS, V1  PAPGSM, STRE/FW          A)PO
EI)SAKOU/SOMAI, VF  FMI1S, A)KOU/W          EI)S
DIASTRE/FETE, V1  PAI2P, STRE/FW          DIA
A)FELEI=S, VF2 FAI2S, AI(RE/W          A)PO
KATE/SPEUDON, V1I IAI3P, SPEU/DW          KATA
SULLE/GETE, V1  PAI2P, LE/GW            SUN
SUNTELEI=TE, V2  PAD2P, TELE/W           SUN
SUNETELE/SATE, VAI AAI2P, TELE/W           SUN
A)POLEI/YETE, VF  FAI2P, LEI/PW           A)PO
PARW|KH/KASIN, VX  XAI3P, OI)KE/W          PARA
EI)SH/KOUSA, VAI AAI1S, A)KOU/W          EI)S
E)KDIKH/SEI, VF  FAI3S, DIKE/W           E)K
SUNANTW=N, V9  PAPNSM, EI)MI/           SUN   A)NTI
EI)SH/KOUSAS, VAI AAI2S, A)KOU/W          EI)S
E)POZE/SEI, VF2 FAI3S, O)/ZW            E)PI
E)PW/ZESEN, VAI AAI3S, O)/ZW            E)PI
E)PISTRAFEI\S, VD  APPNSM, STRE/FW          E)PI
A)NEPLHRW/QHSAN, VCI API3P, PLHRO/W          A)NA
A)NABH/SONTAI, VF  FMI3P, BAI/NW           A)NA
PERIELE/TW, VB  AAD3S, AI(RE/W          PERI
U(POLEIFQH/SONTAI, VV  FPI3P, LEI/PW           U(PO
PERIAIREQH/SONTAI, VC  FPI3P, AI(RE/W          PERI
PARADOCA/SW, VF  FAI1S, DOCA/ZW          PARA
E)CWLEQREU/QH, VCI API3S, O)LEQREU/W       E)K
A)POTENEI=TE, VF2 FAI2P, TEI/NW           A)PO
PROSQH=|S, VE  AAS2S, TI/QHMI          PROS
PERIEI=LEN, VBI AAI3S, AI(RE/W          PERI
E)GKRATEI=S, V2  PAI2S, KRATE/W          E)N
A)NAZE/OUSAI, V2  PAPNPF, ZE/W             A)NA
E)KTRIBH/SH|, VF  FMI2S, TRI/BW           E)K
DIETHRH/QHS, VCI API2S, THRE/W           DIA
DIAGGELH=|, VD  APS3S, A)GGE/LLW        DIA
KATA/SPEUSON, VA  AAD2S, SPEU/DW          KATA
E)KPETA/SW, VF  FAI1S, PETA/NNUMI       E)K
DIHGH/SHSQE, VA  AMS2P, H(GE/OMAI        DIA
KATE/DETAI, VF  FMI3S, E)SQI/W          KATA
E)KKLI/NAS, VA  AAPNSM, KLI/NW           E)K
KATE/SPEUDEN, V1I IAI3S, SPEU/DW          KATA
PROSDE/CASQE, VA  AMD2P, DE/XOMAI         PROS
PROSEU/CASQE, VAI AMI2P, EU)/XOMAI        PROS
KATEGI/NONTO, V1I IMI3P, GI/GNOMAI        KATA
U(POLI/PESQE, VB  AMD2P, LEI/PW           U(PO
U(POLEIYO/MEQA, VF  FMI1P, LEI/PW           U(PO
E)CAPOSTE/LLH|, V1  PAS3S, STE/LLW          E)K   A)PO
KA/QHTAI, V5  PMI3S, H(=MAI           KATA
PARADOCA/SEI, VF  FAI3S, DOCA/ZW          PARA
KATABH/SONTAI, VF  FMI3P, BAI/NW           KATA
PROKUNH/SOUSI/N, VF  FAI3P, KUNE/W           PRO
SULLH/MYETAI, VF  FMI3S, LAMBA/NW         SUN
SUNARIQMH/SETAI, VF  FMI3S, A)RIQME/W        SUN
KATAKAU/SETE, VF  FAI2P, KAI/W            KATA
E)NARXOME/NOU, V1  PMPGSM, A)/RXW           E)N
E)CELEU/SESQE, VF  FMI2P, E)/RXOMAI        E)K
KATEBIA/ZONTO, V1I IMI3P, BIA/ZOMAI        KATA
PERITEMEI=S, VF2 FAI2S, TE/MNW           PERI
E)KPOREU/ESQE, V1  PMI2P, POREU/OMAI       E)K
A)NAGGELEI=S, VF2 FAI2S, A)GGE/LLW        A)NA
E)CEPOREUO/MHN, V1I IMI1S, POREU/OMAI       E)K
KATADIW/CETAI, VF  FMI3S, DIW/KW           KATA
E)NDOCASQH/SOMAI, VS  FPI1S, DOCA/ZOMAI       E)N
SUNAPH/GAGEN, VBI AAI3S, A)/GW            SUN   A)PO
A)NAZEUCA/TWSAN, VA  AAD3P, ZEUGNU/W         A)NA
E)/PARON, VA  AAD2S, AI)/RW           E)PI
EI)SELQA/TWSAN, VB  AAD3P, E)/RXOMAI        EI)S
E)NDOCAZOME/NOU, V1  PMPGSM, DOCA/ZW          E)N
PROPOREUO/MENOS, V1  PMPNSM, POREU/OMAI       PRO
SUNE/DHSEN, VAI AAI3S, DE/W             SUN
A)POKATASTH/TW, VH  AAD3S, I(/STHMI         A)PO  KATA
E)PIKALUYA/TW, VA  AAD3S, KALU/PTW         E)PI
E)CETI/NACEN, VAI AAI3S, TINA/SSW         E)K
E)PANASTRAFE\N, VD  APPNSN, STRE/FW          E)PI  A)NA
EI)SPEPOREUME/NOUS, VM  XMPAPM, POREU/OMAI       EI)S
SUNTRI/BWN, V1  PAPNSM, TRI/BW           SUN
SUNE/TRIYAS, VAI AAI2S, TRI/BW           SUN
KATALH/MYOMAI, VF  FMI1S, LAMBA/NW         KATA
E)MPLH/SW, VF  FAI1S, PI/MPLHMI        E)N
A)POLIQWQH/TWSAN, VC  APD3P, LIQO/W           A)PO
KATAFU/TEUSON, VA  AAD2S, FUTEU/W          KATA
DIEGO/GGUZEN, V1I IAI3S, GOGGU/ZW         DIA
E)NWTI/SH|, VA  AMS2S, W)TI/ZOMAI       E)N
DIAGOGGU/ZETE, V1  PAI2P, GOGGU/ZW         DIA
PROSE/LQATE, VA  AAD2P, E)/RXOMAI        PROS
EI)SAKH/KOEN, VX  XAI3S, A)KOU/W          EI)S
EI)SAKH/KOA, VX  XAI1S, A)KOU/W          EI)S
KATAPAUOME/NHS, V1  PMPGSF, PAU/W            KATA
SULLE/CATE, VA  AAD2P, LE/GW            SUN
KATALIPE/TW, VB  AAD3S, LEI/PW           KATA
SULLE/CETE, VF  FAI2P, LE/GW            SUN
A)POQH/SEIS, VF  FAI2S, TI/QHMI          A)PO
A)NEBI/BASAS, VAI AAI2S, BIBA/ZW          A)NA
KATALIQOBOLH/SOUSI/N, VF  FAI3P, LIQOBOLE/W       KATA
PROPOREU/OU, V1  PMD2S, POREU/OMAI       PRO
E)PI/LECON, VA  AAD2S, LE/GW            E)PI
PARETA/CATO, VAI AMI3S, TA/SSW           PARA
KAQH=KEN, VAI AAI3S, I(/HMI           KATA
KATA/GRAYON, VA  AAD2S, GRA/FW           KATA
E)KZHTH=SAI, VA  AAN, ZHTE/W           E)K
KATAFQARH/SH|, VD  FPI2S, FQEI/RW          KATA
A)NOI/SEIS, VF  FAI2S, FE/RW            A)NA
DIAMARTURH=|, VF2 FMI2S, MARTU/ROMAI      DIA
SUNANTILH/MYONTAI/, VF  FMI3P, LAMBA/NW         SUN   A)NTI
KATISXU/SEI, VF  FAI3S, ISXU/W           KATA
E)PE/LECEN, VAI AAI3S, LE/GW            E)PI
A)NEFE/ROSAN, VBI AAI3P, FE/RW            A)NA
E)CH=RAN, VAI AAI3P, AI)/RW           E)K
DIAMA/RTURAI, VA  AMD2S, MARTU/ROMAI      DIA
A)FORIEI=S, VF2 FAI2S, O(RI/ZW          A)PO
A)NABH=NAI, VZ  AAN, BAI/NW           A)NA
KATATOCEUQH/SETAI, VC  FPI3S, TOCEU/W          KATA
PROSE/LQHTE, VB  AAS2P, E)/RXOMAI        PROS
KATABEBHKE/NAI, VX  XAN, BAI/NW           KATA
PROBAI/NOUSAI, V1  PAPNPF, BAI/NW           PRO
A)PALLA/CH|, VA  AAS3S, A)LLA/SSW        A)PO
DIAMEMARTU/RHSAI, VM  XMI2S, MARTURE/W        DIA
PROSKUNH/SEIS, VF  FAI2S, KUNE/W           PROS
PAROIKW=N, V2  PAPNSM, OI)KE/W          PARA
E)PIQUMH/SEIS, VF  FAI2S, QUME/W           E)PI
E)PONOMA/SW, VA  AAS1S, O)NOMA/ZW        E)PI
E)PIBE/BLHKAS, VX  XAI2S, BA/LLW           E)PI
A)NABH/SH|, VF  FMI2S, BAI/NW           A)NA
A)POKALU/YH|S, VA  AAS2S, KALU/PTW         A)PO
PARAQH/SEIS, VF  FAI2S, TI/QHMI          PARA
SUNEISE/LQH|, VB  AAS3S, E)/RXOMAI        SUN   EI)S
PROSA/CEI, VF  FAI3S, A)/GW            PROS
A)POLUTRW/SEI, VF  FAI3S, LUTRO/W          A)PO
KAQOMOLOGH/SHTAI, VA  AMS3S, O(MOLOGE/W       KATA
A)POSTERH/SEI, VF  FAI3S, STERE/W          A)PO
E)PIQH=TAI, VE  AMS3S, TI/QHMI          E)PI
KATAFU/GH|, VB  AAS3S, FEU/GW           KATA
KATADUNASTEU/SAS, VA  AAPNSM, DUNASTEU/W       KATA
PERIPATH/SH|, VA  AAS3S, PATE/W           PERI
